version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 162.216.149.224 172.31.17.14 52043 23107 6 1 44 1764302530 1764302591 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 55810 6 24 7416 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.95.49.216 172.31.17.14 123 50521 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 98.87.175.149 38562 443 6 14 4765 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 54.239.28.168 35370 443 6 19 4996 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.57 42940 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 49534 443 6 16 4864 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.58 37652 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.186.168.123 172.31.17.14 123 57892 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.217.79.129 172.31.17.14 443 52174 6 25 7714 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.95.49.216 59133 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 44.216.200.62 46302 443 6 17 5011 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 44294 6 23 7370 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 44.216.200.62 172.31.17.14 443 46302 6 17 5714 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.58 172.31.17.14 123 37652 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.188.59 172.31.17.14 443 46734 6 9 4469 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 55810 443 6 16 4864 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.57 172.31.17.14 123 42940 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.186.168.123 172.31.17.14 123 39955 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.58 172.31.17.14 123 57451 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.217.79.129 52174 443 6 20 7450 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.220.36.73 172.31.17.14 443 39534 6 19 6494 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 44.216.199.76 49898 443 6 18 6923 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 49522 6 24 7468 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.232.28.194 172.31.17.14 123 40437 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 98.87.175.149 41226 443 6 17 7057 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 172.232.28.194 40437 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 142.202.190.19 49492 123 17 1 76 1764302530 1764302591 ACCEPT OK
